epoch,agent/cur_q1,agent/cur_q2,agent/diff_loss,agent/guide_loss,agent/lmbda,agent/policy_grad_norm,agent/policy_loss,agent/policy_weight_norm,agent/qf1_grad_norm,agent/qf1_loss,agent/qf1_weight_norm,agent/qf2_grad_norm,agent/qf2_loss,agent/qf2_weight_norm,agent/qf_loss,agent/tgt_q,agent/tgt_q1,agent/tgt_q2,average_return,average_traj_length,average_normalizd_return,average_10_normalized_return,best_normalized_return,done,train_time,eval_time,epoch_time
0,10.581861,10.645606,0.25413996,-1.989456,0.17092144,1.4649103,-1.735316,28.73273,16.399578,3.4008856,28.142302,21.256002,3.3468022,28.079649,6.747688,10.501319,8.406092,8.379319,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,61.20156502723694,41.566044092178345,102.76760911941528
1,21.212626,21.138538,0.19416484,-1.9928428,0.089455366,1.2204981,-1.7986779,28.745913,32.526997,2.5843472,28.66277,23.71319,2.5316885,28.591219,5.1160355,20.998867,18.915375,18.938038,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,60.376112937927246,1.239776611328125e-05,60.37612533569336
2,32.01725,31.748621,0.17608501,-1.982899,0.060733538,0.542583,-1.806814,28.819044,61.78782,5.3274746,29.124155,86.173706,5.5597982,29.092228,10.887273,32.571648,30.74421,30.653482,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,5.470207929611206,6.4373016357421875e-06,5.470214366912842
3,43.46055,43.46473,0.19295023,-1.999694,0.0450203,0.54173636,-1.8067437,28.941032,67.358055,11.207017,29.631788,68.5892,11.14876,29.635796,22.355778,43.122883,41.478634,41.412773,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,5.832579135894775,7.152557373046875e-06,5.832586288452148
4,51.58602,51.407146,0.17363563,-1.9996123,0.037810132,0.46427357,-1.8259767,29.091766,66.22256,7.0174932,30.186083,79.09357,6.592227,30.177652,13.60972,51.56505,49.999203,49.964645,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,5.546515464782715,6.67572021484375e-06,5.54652214050293
5,62.3801,62.6865,0.15995106,-1.9870188,0.031051315,0.45850828,-1.8270677,29.25867,83.60515,8.123374,30.779423,65.84161,7.161722,30.77669,15.285096,62.62406,61.03524,61.047173,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,5.5268425941467285,6.4373016357421875e-06,5.526849031448364
6,74.903824,75.58968,0.14184794,-1.9950892,0.026165167,0.43824518,-1.8532412,29.448935,102.17353,7.335853,31.455645,112.27887,7.4101706,31.41165,14.746023,75.23095,73.62315,73.65816,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,5.321129322052002,6.9141387939453125e-06,5.321136236190796
7,78.67957,78.71982,0.16921738,-2.0,0.025055286,0.5508352,-1.8307827,29.65547,136.34586,10.476309,32.154144,113.898384,9.690638,32.066734,20.166946,78.23422,76.96129,76.92906,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,5.504192590713501,7.867813110351562e-06,5.504200458526611
8,84.0516,83.90964,0.13733524,-1.9974366,0.023330068,0.47142306,-1.8601015,29.85837,220.22636,30.507853,32.855392,225.86734,28.466766,32.755302,58.974617,84.29031,83.68514,83.48793,-25.2828,97.9,-0.005862282204948164,-0.005862282204948164,-0.005862282204948164,1.0,5.276659965515137,6.9141387939453125e-06,5.276666879653931
9,96.764694,96.34895,0.13734007,-1.9999999,0.020317756,0.34437525,-1.8626598,30.064827,160.56145,14.364998,33.527363,221.77194,14.40213,33.41619,28.767128,97.118,96.06447,95.98593,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.3526387214660645,5.925926208496094,11.278564929962158
10,100.75583,100.70668,0.15991622,-1.9979869,0.019530287,0.4635242,-1.8380706,30.285349,193.01054,14.852407,34.261726,192.81415,13.8644285,34.12647,28.716835,100.44127,99.51422,99.47934,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.676807880401611,7.3909759521484375e-06,5.6768152713775635
11,113.18193,113.21326,0.14501128,-1.9983976,0.017380647,0.5319815,-1.8533863,30.494276,246.41019,22.836323,34.980778,211.11264,19.074757,34.879,41.91108,113.25222,112.31227,112.205826,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.418356657028198,6.9141387939453125e-06,5.418363571166992
12,117.472916,117.46559,0.13662139,-1.9990335,0.016722247,0.66114664,-1.8624121,30.71626,250.23997,22.624165,35.691044,238.1819,26.970955,35.590443,49.59512,117.8146,117.202286,117.110275,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.50111198425293,7.152557373046875e-06,5.501119136810303
13,125.379486,125.25083,0.131759,-1.9993219,0.015626937,0.3483799,-1.8675629,30.940134,302.8825,20.115627,36.378048,337.23322,21.000801,36.295128,41.11643,126.23805,125.56958,125.36336,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.366454839706421,7.62939453125e-06,5.366462469100952
14,122.98897,122.81056,0.1467233,-1.997236,0.015932716,0.4148682,-1.8505127,31.17044,415.29858,22.576714,37.05704,406.18387,23.231527,36.97952,45.808243,121.73807,121.43385,121.056114,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.6416356563568115,8.58306884765625e-06,5.641644239425659
15,135.1949,135.18994,0.17014447,-2.0,0.014536611,0.46242628,-1.8298556,31.378153,459.99197,47.74919,37.777256,427.37006,42.060463,37.662926,89.809654,135.26453,135.32062,134.91174,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.363076686859131,7.3909759521484375e-06,5.363084077835083
16,134.50708,134.2807,0.12860456,-1.9992628,0.014562423,0.4995964,-1.8706583,31.597195,338.95105,21.365644,38.44244,328.96143,23.157257,38.350098,44.522903,134.18402,133.95184,133.83038,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.707857847213745,7.62939453125e-06,5.707865476608276
17,141.70474,142.35005,0.1709955,-1.995467,0.0137525555,0.40210202,-1.8244715,31.795164,281.448,20.424303,39.09486,245.87508,21.420753,39.029648,41.845055,141.98463,141.79959,141.75752,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.4396374225616455,6.198883056640625e-06,5.439643621444702
18,147.20973,147.01758,0.13046336,-1.997557,0.013279931,0.3652065,-1.8670937,32.008045,319.1506,27.777376,39.74603,443.69604,27.794493,39.65648,55.57187,147.52847,147.28291,147.23607,232.72928,162.7,0.05034128329953008,0.022239500547290958,0.05034128329953008,1.0,5.391410827636719,6.67572021484375e-06,5.391417503356934
19,142.947,143.10042,0.14659047,-1.9968349,0.013592842,0.48408982,-1.8502444,32.20323,387.47736,30.557018,40.375004,316.4741,26.275019,40.272266,56.83204,143.52953,143.52286,143.39824,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.562239170074463,4.99770450592041,10.559943675994873
20,146.45845,146.49664,0.12024612,-1.998704,0.013251745,0.33192062,-1.8784578,32.417187,497.02966,36.628372,41.01777,414.5971,31.388802,40.90223,68.01717,146.72726,146.65646,146.62465,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.578852653503418,1.71661376953125e-05,5.578869819641113
21,157.43495,157.75682,0.12498861,-2.0,0.012357549,0.6162082,-1.8750114,32.62599,723.47644,33.475784,41.63417,665.47595,34.663822,41.53144,68.1396,159.2627,159.3832,159.47493,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.501494407653809,7.62939453125e-06,5.50150203704834
22,162.34323,162.44785,0.13864511,-1.9979795,0.012011493,0.5050995,-1.8593345,32.82535,237.06546,20.210854,42.261765,224.32603,17.579237,42.154568,37.790092,162.46376,162.49551,162.38654,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.67548680305481,7.867813110351562e-06,5.67549467086792
23,162.64024,163.66972,0.1524877,-2.0,0.011983356,0.51792485,-1.8475122,33.02234,598.4595,37.349022,42.90117,465.20007,40.911503,42.805737,78.26053,163.90398,163.87302,164.0856,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.332478761672974,6.67572021484375e-06,5.3324854373931885
24,168.85092,169.14877,0.12965335,-1.9961985,0.011552092,0.5107731,-1.8665452,33.220734,838.42993,42.700005,43.516182,596.5309,34.571777,43.438255,77.27178,169.51337,170.06256,169.73038,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.381639003753662,6.67572021484375e-06,5.381645679473877
25,164.9571,165.19748,0.13275018,-2.0,0.011815081,0.38897234,-1.8672498,33.4257,611.10516,32.70429,44.130314,518.7694,29.000423,44.08715,61.704712,165.23813,165.75917,165.2502,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.605994701385498,8.344650268554688e-06,5.606003046035767
26,158.37933,158.2179,0.12589616,-1.9999763,0.012333711,0.4555615,-1.8740802,33.63486,403.75916,36.31324,44.719807,365.6088,35.88569,44.69773,72.19893,158.55054,158.90982,158.72162,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.540031433105469,7.62939453125e-06,5.5400390625
27,171.17581,172.1406,0.1288477,-1.9958119,0.011392929,0.60499793,-1.8669642,33.837498,470.9999,23.19939,45.29788,370.5269,23.847061,45.26181,47.04645,171.6209,171.72333,171.82648,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.337642669677734,7.62939453125e-06,5.337650299072266
28,170.39389,170.14265,0.14020237,-1.9987535,0.011538591,0.45266792,-1.8585511,34.035355,510.6677,38.73733,45.8306,457.22104,36.617554,45.833,75.35489,169.74863,170.79099,170.59329,188.95023,139.3,0.04080475531859269,0.028427918804391536,0.05034128329953008,1.0,5.5679426193237305,7.3909759521484375e-06,5.567950010299683
29,171.16151,170.46886,0.12090942,-1.9947264,0.01152553,0.55755633,-1.873817,34.22222,378.9033,31.183067,46.37302,475.98672,33.587128,46.405724,64.770195,171.10364,171.99184,171.70909,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.474584102630615,10.677555322647095,16.15213942527771
30,178.133,178.21825,0.12500854,-1.9971565,0.010977029,0.36254504,-1.8721479,34.425045,744.1425,51.263393,46.853592,658.284,49.781433,46.90772,101.04483,177.23578,177.80432,177.86911,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.584130764007568,6.67572021484375e-06,5.584137439727783
31,178.47052,178.67654,0.12976032,-2.0,0.0109616155,0.47130397,-1.8702397,34.630154,376.02744,24.757925,47.388397,449.12918,28.721178,47.443336,53.479103,177.97934,178.4638,178.15288,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.467522859573364,7.3909759521484375e-06,5.467530250549316
32,173.52138,173.38712,0.08700145,-1.9988209,0.011288241,0.5036556,-1.9118195,34.828117,474.27905,37.425426,47.902542,471.1803,38.467735,47.96274,75.89316,173.8648,175.3205,175.07004,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.473093509674072,7.867813110351562e-06,5.473101377487183
33,174.76979,174.85081,0.12475276,-1.9999999,0.011222217,0.7827968,-1.8752471,35.024284,567.62604,36.897125,48.383213,604.3763,36.053535,48.475624,72.95066,174.72409,175.03883,175.0529,841.4689,299.2,0.18294489937779615,0.06705716394774269,0.18294489937779615,1.0,5.571596145629883,7.62939453125e-06,5.571603775024414
